"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"VENDOR";
"18";"0.1uF";"C-EUC0603";"C0603";"C2, C3, C4, C6, C7, C8, C9, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21";"CAPACITOR, European symbol";"";"";"";"MC0603B104K160CT";"";"06R4923";"";"";"";
"1";"0603PS-103KLB";"0603PS";"0603";"L1";"";"";"";"";"";"";"unknown";"";"";"";
"4";"0R";"R-EU_R0603";"R0603";"R4, R5, R8, R9";"RESISTOR, European symbol";"";"";"";"";"";"unknown";"";"";"";
"19";"100";"R-EU_R0603";"R0603";"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R28, R39, R40, R41, R42";"RESISTOR, European symbol";"";"";"";"MCMR06X1000FTL";"";"86T3504";"";"";"";
"2";"10K";"R-EU_R0603";"R0603";"R6, R7";"RESISTOR, European symbol";"";"";"";"MCMR06X1002FTL";"";"86T3506";"";"";"";
"1";"10uF";"CPOL-EUCT3216";"CT3216";"C1";"POLARIZED CAPACITOR, European symbol";"";"";"";"F931A106MAA";"";"58R3260";"";"";"";
"1";"1241050-5";"1241050-5";"2.54/2X5";"J15";"";"";"";"";"1241050-5";"";"98K5467";"";"";"";
"2";"18pF";"C-EUC0603";"C0603";"C5, C10";"CAPACITOR, European symbol";"";"";"";"MC0603N180K500CT";"";"06R5140";"";"";"";
"6";"1K";"R-EU_R0603";"R0603";"R33, R34, R35, R36, R37, R38";"RESISTOR, European symbol";"";"";"";"MCMR06X1001FTL";"";"86T3505";"";"";"";
"3";"1K5";"R-EU_R0603";"R0603";"R10, R29, R32";"RESISTOR, European symbol";"";"";"";"MCMR06X1501FTL";"";"86T3542";"";"";"";
"2";"22-05-7028-02";"22-05-7028-02";"7395-02";"J3, J9";"CONNECTOR";"";"";"";"22-05-7028";"9731601";"25M1728";"";"";"";
"3";"22-05-7038-03";"22-05-7038-03";"7395-03";"J4, J5, J7";"CONNECTOR";"";"";"";"22-05-7038";"9731610 ";"26M6362";"";"";"";
"4";"22-05-7048-04";"22-05-7048-04";"7395-04";"J6, J8, J11, J14";"CONNECTOR";"";"";"";"22-05-7048";"unknown";"26M6363";"";"";"";
"3";"22-05-7068-06";"22-05-7068-06";"7395-06";"J1, J2, J10";"CONNECTOR";"";"";"";"22-05-7068";"unknown";"25M1733";"";"";"";
"1";"22-27-2061-06";"22-27-2061-06";"6410-06";"J12";"CONNECTOR";"";"";"MOLEX";"22-27-2061";"unknown";"56H0719";"";"";"";
"1";"3000";"3000";"3000";"X3";"";"";"";"KEYSTONE ELECTR";"3000";"";"66F5622";"";"";"";
"3";"33";"R-EU_R0603";"R0603";"R26, R30, R31";"RESISTOR, European symbol";"";"";"";"MCMR06X33R0FTL";"";"86T3614";"";"";"";
"5";"4K7";"R-EU_R0603";"R0603";"R1, R2, R3, R25, R27";"RESISTOR, European symbol";"";"";"";"MCMR06X4701FTL";"";"86T3649";"";"";"";
"1";"ASE-12";"ASE";"ASE";"X2";"3.3Vdc CMOS SMD CRYSTAL CLOCK OSCILLATOR";"";"";"";"ASE-12.000MHZ-LC-T";"unknown";"40Y2118";"";"";"";
"1";"AT24C512C-SSHM-B";"AT24C512C-SSHM-B";"SOIC127P600X175-8N";"U1";"SERIAL EEPROM IC Memory Size:512Kbit,8-SOIC";"";"";"";"AT24C02C-SSHM-B";"1971995 ";"68T4066";"8SOIC";"ATMEL";"";
"2";"B3FS-1015";"B3FS-1015";"B3FS";"SW1, SW2";"Surface-mounting Switches Ideal for";"";"";"";"";"";"unknown";"";"";"";
"1";"BC-2-P";"BC-2-P";"BC-2-P";"JP1";"";"";"";"";"";"";"unknown";"";"";"";
