Partlist

Exported from Main_Board_Rev_A2.brd at 2017-06-08 11:09 AM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value             Package             Library                        Position (mm)         Orientation

C1       4.7uF             CT3216              rcl                            (11 44)               MR90
C2       100nF             C0603               rcl                            (23.5 38)             R180
C3       100nF             C0603               rcl                            (23.5 50)             R180
C4       10uF              CT3216              rcl                            (36 44.5)             MR90
C5       4700pF            C0603               rcl                            (56 81.5)             R270
C6       100nF             C0603               rcl                            (28.2 39.9)           MR180
C7       100nF             C0603               rcl                            (36 39)               MR180
C8       100nF             C0603               rcl                            (28.2 45.1)           MR180
C9       10uF              CT3216              rcl                            (32 50)               MR270
C10      100nF             C0603               rcl                            (25.8 41.5)           MR0
C11      100nF             C0603               rcl                            (28.5 48)             MR180
C12      100nF             C0603               rcl                            (31 40)               MR90
C13      100nF             C0603               rcl                            (36.8 36.4)           R90
C14      100nF             C0603               rcl                            (48 79.5)             MR270
C15      10uF              CT3216              rcl                            (54.5 61)             MR0
C16      0.1uF             C0603               rcl                            (47.5 48.5)           MR90
C17      0.1uF             C0603               rcl                            (59.6 36)             R90
C18      0.1uF             C0603               rcl                            (49.5 25.6)           MR270
C19      18pF              C0603               rcl                            (48.4 35.7)           R270
C20      0.1uF             C0603               rcl                            (51 55)               MR180
C21      0.1uF             C0603               rcl                            (46.5 53.5)           MR0
C22      0.1uF             C0603               rcl                            (55 56.5)             MR90
C23      0.1uF             C0603               rcl                            (52.3 41)             MR180
C24      18pF              C0603               rcl                            (54.6 35.7)           R270
C25      0.1uF             C0603               rcl                            (58.5 48)             MR180
C26      0.1uF             C0603               rcl                            (58.5 53.5)           MR180
C27      0.1uF             C0603               rcl                            (47.5 13.6)           MR90
C28      0.1uF             C0603               rcl                            (71.5 20)             R180
C29      0.1uF             C0603               rcl                            (71.5 32.5)           R180
C30      0.1uF             C0603               rcl                            (71.5 41)             R180
C31      0.1uF             C0603               rcl                            (71.5 51.5)           R180
C32      0.1uF             C0603               rcl                            (71.2 46.5)           MR180
C33      0.1uF             C0603               rcl                            (71.4 26.4)           MR180
C34      0.1uF             C0603               rcl                            (56.5 14)             MR270
C35      4.7uF             C0603               rcl                            (14 11.5)             R180
C36      4.7uF             C0603               rcl                            (20.9 11.6)           R180
C37      0.1uF             C0603               rcl                            (17.2 70.1)           R0
C38      0.1uF             C0603               rcl                            (17.2 77.1)           R0
C39      0.1uF             C0603               rcl                            (17.2 72.3)           R0
